"city","neighbourhood_cleansed","avg_accommodates","avg_total_price","avg_price_per_guest"
Tokyo,Chuo Ku,3,181.450000,53.1900000000000
New York,Midwood,2,112.560000,52.7200000000000
Tokyo,Minato Ku,4,196.480000,52.6500000000000
New York,Claremont Village,3,129.340000,52.3600000000000
New York,Laurelton,2,132.880000,51.9900000000000
New York,Kew Gardens,2,99.720000,51.9200000000000
Tokyo,Setagaya Ku,4,174.490000,51.8600000000000
New York,Woodside,2,99.880000,51.1400000000000
New York,East New York,2,135.340000,51.0600000000000
London,Bexley,3,162.650000,51.0500000000000
New York,East Elmhurst,3,138.510000,50.5500000000000
New York,Morris Park,1,93.710000,50.4000000000000
New York,Jamaica,2,128.490000,50.2300000000000
New York,Far Rockaway,3,134.190000,49.8100000000000
Tokyo,Shibuya Ku,4,182.920000,49.7900000000000
New York,Rego Park,3,119.010000,49.6400000000000
New York,Ridgewood,3,118.950000,49.6100000000000
New York,Queens Village,3,126.400000,49.3700000000000
New York,College Point,2,134.940000,49.1700000000000
New York,Bayside,4,193.110000,48.5800000000000
New York,Mount Hope,1,75.160000,48.5200000000000
New York,Edenwald,1,84.760000,48.4500000000000
New York,Jackson Heights,2,111.520000,48.3600000000000
New York,Cypress Hills,2,119.490000,48.1000000000000
New York,Concourse,2,105.700000,47.4300000000000
New York,Longwood,2,98.140000,47.4300000000000
New York,Kensington,3,161.930000,47.2500000000000
New York,Bay Ridge,2,104.350000,47.1100000000000
New York,Jamaica Estates,3,128.210000,46.6700000000000
New York,Glendale,2,111.210000,46.6200000000000
New York,Flushing,2,107.540000,46.5600000000000
New York,Brighton Beach,2,111.380000,46.4900000000000
New York,Concourse Village,2,119.220000,46.1600000000000
New York,Bensonhurst,3,119.580000,46.0600000000000
Tokyo,Bunkyo Ku,4,144.290000,45.6500000000000
New York,Clason Point,2,94.270000,44.2900000000000
New York,Woodhaven,2,92.110000,44.0600000000000
Tokyo,Shinjuku Ku,4,156.930000,43.5700000000000
New York,West Brighton,2,83.200000,43.2000000000000
New York,Kingsbridge,2,98.550000,42.8300000000000
New York,Briarwood,2,98.620000,42.5400000000000
New York,Elmhurst,2,79.830000,42.0000000000000
New York,Hollis,2,95.070000,41.9100000000000
New York,Fresh Meadows,4,162.640000,41.9000000000000
New York,Mariners Harbor,2,80.660000,41.5900000000000
Tokyo,Shinagawa Ku,4,138.900000,41.0900000000000
New York,Parkchester,3,122.190000,40.2700000000000
New York,Norwood,2,86.450000,39.7800000000000
New York,Fordham,2,76.660000,38.4000000000000
Tokyo,Meguro Ku,4,152.290000,38.2300000000000
New York,Hunts Point,1,68.240000,37.9700000000000
